Source,Target,Label,Type
34,85,"Edge 34 to 85","Mixed"
34,96,"Edge 34 to 96","Mixed"
34,102,"Edge 34 to 102","Mixed"
34,117,"Edge 34 to 117","Mixed"
34,122,"Edge 34 to 122","Mixed"
34,130,"Edge 34 to 130","Mixed"
35,1,"Edge 35 to 1","Mixed"
35,5,"Edge 35 to 5","Mixed"
35,17,"Edge 35 to 17","Mixed"
35,27,"Edge 35 to 27","Mixed"
35,28,"Edge 35 to 28","Mixed"
35,40,"Edge 35 to 40","Mixed"
35,49,"Edge 35 to 49","Mixed"
36,16,"Edge 36 to 16","Mixed"
36,17,"Edge 36 to 17","Mixed"
36,22,"Edge 36 to 22","Mixed"
36,32,"Edge 36 to 32","Mixed"
36,33,"Edge 36 to 33","Mixed"
36,44,"Edge 36 to 44","Mixed"
36,92,"Edge 36 to 92","Mixed"
36,106,"Edge 36 to 106","Mixed"
37,4,"Edge 37 to 4","Mixed"
37,7,"Edge 37 to 7","Mixed"
37,15,"Edge 37 to 15","Mixed"
37,19,"Edge 37 to 19","Mixed"
37,24,"Edge 37 to 24","Mixed"
37,64,"Edge 37 to 64","Mixed"
37,70,"Edge 37 to 70","Mixed"
37,81,"Edge 37 to 81","Mixed"
37,88,"Edge 37 to 88","Mixed"
37,117,"Edge 37 to 117","Mixed"
38,1,"Edge 38 to 1","Mixed"
38,3,"Edge 38 to 3","Mixed"
38,5,"Edge 38 to 5","Mixed"
38,7,"Edge 38 to 7","Mixed"
38,32,"Edge 38 to 32","Mixed"
38,48,"Edge 38 to 48","Mixed"
38,53,"Edge 38 to 53","Mixed"
38,71,"Edge 38 to 71","Mixed"
38,108,"Edge 38 to 108","Mixed"
39,1,"Edge 39 to 1","Mixed"
39,12,"Edge 39 to 12","Mixed"
39,15,"Edge 39 to 15","Mixed"
39,19,"Edge 39 to 19","Mixed"
39,27,"Edge 39 to 27","Mixed"
39,55,"Edge 39 to 55","Mixed"
39,74,"Edge 39 to 74","Mixed"
39,116,"Edge 39 to 116","Mixed"
39,119,"Edge 39 to 119","Mixed"
40,4,"Edge 40 to 4","Mixed"
40,5,"Edge 40 to 5","Mixed"
40,26,"Edge 40 to 26","Mixed"
40,34,"Edge 40 to 34","Mixed"
40,35,"Edge 40 to 35","Mixed"
40,53,"Edge 40 to 53","Mixed"
40,55,"Edge 40 to 55","Mixed"
40,64,"Edge 40 to 64","Mixed"
40,74,"Edge 40 to 74","Mixed"
40,77,"Edge 40 to 77","Mixed"
40,80,"Edge 40 to 80","Mixed"
40,105,"Edge 40 to 105","Mixed"
40,118,"Edge 40 to 118","Mixed"
40,126,"Edge 40 to 126","Mixed"
41,1,"Edge 41 to 1","Mixed"
41,2,"Edge 41 to 2","Mixed"
41,16,"Edge 41 to 16","Mixed"
41,22,"Edge 41 to 22","Mixed"
41,33,"Edge 41 to 33","Mixed"
41,86,"Edge 41 to 86","Mixed"
41,122,"Edge 41 to 122","Mixed"
42,3,"Edge 42 to 3","Mixed"
42,8,"Edge 42 to 8","Mixed"
42,18,"Edge 42 to 18","Mixed"
42,21,"Edge 42 to 21","Mixed"
42,23,"Edge 42 to 23","Mixed"
42,50,"Edge 42 to 50","Mixed"
42,56,"Edge 42 to 56","Mixed"
42,57,"Edge 42 to 57","Mixed"
42,78,"Edge 42 to 78","Mixed"
42,87,"Edge 42 to 87","Mixed"
42,102,"Edge 42 to 102","Mixed"
42,112,"Edge 42 to 112","Mixed"
